A_NAME,A_TYPE,A_LOCATION,a_pnumber,A_CHECKIN,A_CHECKOUT,A_PHOTO,S_SERIALNUM
솔라리아니시테츠호텔 부산점,호텔,부산 부산진구 서면로 20,051-802-8585,15:00,11:00,images/accommodationImg/hotel.jpg,A20
티티호텔,호텔,부산 부산진구 새싹로 35,051-808-5514,15:00,11:00,images/accommodationImg/hotel.jpg,A21
경성여관,호텔,부산 부산진구 서면문화로 26,051-802-0090,15:00,11:00,images/accommodationImg/hotel.jpg,A22
엔젤호텔,"여관,모텔",부산 부산진구 중앙대로692번길 46-7,051-802-8223,15:00,11:00,images/accommodationImg/motel.jpg,A23
라이온호텔,호텔,부산 부산진구 중앙대로691번가길 14-7,051-808-3593,14:00,11:00,images/accommodationImg/hotel.jpg,A24
TRT호텔,호텔,부산 부산진구 부전로 33-1,051-819-8231,14:00,11:00,images/accommodationImg/hotel.jpg,A25
한화리조트 해운대,"콘도,리조트",부산 해운대구 마린시티3로 52,051-749-5500,14:00,11:00,images/accommodationImg/condo.jpg,A26
신라스테이 해운대,호텔,부산 해운대구 해운대로570번길 46,051-912-9000,14:00,11:00,images/accommodationImg/hotel2.jpg,A27
베니키아호텔 해운대,호텔,부산 해운대구 해운대해변로 317,051-760-7000,14:00,11:00,images/accommodationImg/hotel2.jpg,A28
베니키아해운대호텔마리안느,호텔,부산 해운대구 해운대해변로 310,051-606-0600,14:00,11:00,images/accommodationImg/hotel2.jpg,A29
파크하얏트 부산,특급호텔,부산 해운대구 마린시티1로 51,051-990-1234,14:00,12:00,images/accommodationImg/fivestarhotel.jpg,A30
베스트웨스턴 해운대호텔,특급호텔,부산 해운대구 구남로 42,051-664-1234,15:00,12:00,images/accommodationImg/fivestarhotel.jpg,A31
파라다이스호텔 부산,특급호텔,부산 해운대구 해운대해변로 296,051-742-2121,15:00,12:00,images/accommodationImg/fivestarhotel.jpg,A32
해운대센텀호텔,호텔,부산 해운대구 센텀3로 20,051-720-9000,15:00,12:00,images/accommodationImg/hotel2.jpg,A34
라마다앙코르해운대호텔,호텔,부산 해운대구 구남로 9,051-610-3000,15:00,12:00,images/accommodationImg/hotel2.jpg,A35
센텀프리미어호텔,호텔,부산 해운대구 센텀1로 17,051-755-9000,15:00,11:00,images/accommodationImg/hotel2.jpg,A36
코오롱씨클라우드호텔,호텔,부산 해운대구 해운대해변로 287,051-933-1000,15:00,11:00,images/accommodationImg/hotel2.jpg,A37
팔레드시즈,"콘도,리조트",부산 해운대구 해운대해변로298번길 24,051-746-0985,15:00,11:00,images/accommodationImg/condo.jpg,A38
웨스틴조선 부산,특급호텔,부산 해운대구 동백로 67,051-749-7000,14:00,11:00,images/accommodationImg/fivestarhotel.jpg,A39
이비스앰배서더 부산해운대,호텔,부산 해운대구 해운대해변로237번길 12,051-630-1100,14:00,11:00,images/accommodationImg/hotel2.jpg,A40
해운대 그린나래호텔,호텔,부산 해운대구 해운대해변로 233,051-744-8160,14:00,11:00,images/accommodationImg/hotel2.jpg,A41
